author,content,description,photo_url,pub_date,source,title,url
Reuters Editorial,"(Reuters) - Police declared a curfew on Monday in parts of Dallas where a powerful tornado tore apart homes and flipped cars, leaving tens of thousands without power for a second night. 
Three people were reported hospitalized with non-life-threatening injur… [+2144 chars]","Police declared a curfew on Monday in parts of Dallas where a powerful tornado tore apart homes and flipped cars, leaving tens of thousands without power for a second night.",https://s3.reutersmedia.net/resources/r/?m=02&d=20191021&t=2&i=1443441503&w=1200&r=LYNXMPEF9K1FN,2019-10-22,Reuters,Dallas orders curfew after tornado shreds homes; thousands without power,https://uk.reuters.com/article/us-usa-weather-idUKKBN1X00FE
,"DALLAS Several Dallas schools will be closed until at least Wednesday and some will be closed indefinitely after three tornados touched down Sunday night in North Texas, including one in North Dallas.
Dallas Independent School District Superintendent Michael… [+4698 chars]","Two Dallas schools likely completely destroyed after Sunday's storms, superintendent says WFAA.com Stars' Ben Bishop, Tyler Seguin suffer property damage from tornado in Dallas The Dallas Morning News Tyler Seguin of Dallas Stars -- Tornado area 'extremely sa…",https://media.wfaa.com/assets/WFAA/images/d9c71ebb-c78a-40d2-b4ac-f87ae3187cdd/d9c71ebb-c78a-40d2-b4ac-f87ae3187cdd_1140x641.jpg,2019-10-22,Wfaa.com,"Two Dallas schools likely completely destroyed after Sunday's storms, superintendent says - WFAA.com",https://www.wfaa.com/article/weather/two-disd-schools-likely-completely-destroyed-after-sundays-storms-superintendent-says/287-990361ec-2992-4aa6-ba41-91220cb3454f
By Jeff Powell for the Daily Mail,"For the first time in the history of professional boxing there will be a winner of a drawn fight if Josh Taylor and Regis Prograis are level on the judges' cards at the end of their world light-welterweight title unification clash on Saturday night.
The batt… [+3532 chars]",For the first time in the history of professional boxing there will be a winner of a drawn fight if Josh Taylor and Regis Prograis are level on the judges' cards on Saturday night.,https://i.dailymail.co.uk/1s/2019/10/22/01/20013474-0-image-a-22_1571702624623.jpg,2019-10-22,Dailymail.co.uk,Undefeated Josh Taylor and Regis Prograis set for professional boxing first if clash ends in a draw,https://www.dailymail.co.uk/sport/boxing/article-7598581/Undefeated-Josh-Taylor-Regis-Prograis-set-professional-boxing-clash-ends-draw.html
alexmark,"Tornadoes leaves heavy damage, power outages in its wake after moving through Dallas
A tornado left a miles-long trail of heavy damage from northwest Dallas to Richardson late Sunday, and the National Weather Service was investigating reports that other funn… [+2392 chars]",,,2019-10-21,Investmentwatchblog.com,Tornado Leaves Trail of Damage in Dallas... Strikes near Love Field Airport! Terrifying videos...,https://www.investmentwatchblog.com/tornado-leaves-trail-of-damage-in-dallas-strikes-near-love-field-airport-terrifying-videos/
Email,"Skip to comments.
A good Brain Teaser from a friend's job application testEmail
 | October 21, 2019
 | AzNascarFan
Posted on 10/21/2019 4:29:49 PM PDT by AzNASCARfan
Problem solving brain teaser...This was a question on a test a friend recently took for … [+5308 chars]","Problem solving brain teaser... This was a question on a test a friend recently took for part of a job application.He said it was not a timed test, just took it at home and emailed it back. I got the answer, but it took a couple minutes... Given statements 1 …",,2019-10-21,Freerepublic.com,A good Brain Teaser from a friend's job application test,https://www.freerepublic.com/focus/f-bloggers/3787984/posts
,,"NBC 5 apologizes for not interrupting Cowboys coverage for tornado warning Fort Worth Star-Telegram Dallas tornado leaves trail of destruction CBS This Morning Tyler Seguin of Dallas Stars -- Tornado area 'extremely sad sight to see' ESPN Stars' Ben Bishop, T…",,2019-10-21,Star-telegram.com,NBC 5 apologizes for not interrupting Cowboys coverage for tornado warning - Fort Worth Star-Telegram,https://www.star-telegram.com/news/weather-news/article236502493.html
,,'It was like a tornado': Family left terrified as their holiday turns into a nightmare when fierce storm hit Marcoola.,https://i.dailymail.co.uk/1s/2019/10/22/00/20012774-0-image-a-7_1571700424096.jpg,2019-10-21,Dailymail.co.uk,Video: Family left terrified when fierce storm hit Marcoola during holiday,https://www.dailymail.co.uk/video/news/video-2032142/Video-Family-left-terrified-fierce-storm-hit-Marcoola-holiday.html
"Jamie Stengle, Jake Bleiberg","The tornado crossed over two major interstates. If that happened at rush hour, I think we'd be talking about a different story, he said.
The National Weather Service said the tornado that ripped through North Dallas was an EF-3, with a maximum wind speed of … [+3648 chars]","A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states.",https://bostonglobe-prod.cdn.arcpublishing.com/resizer/s9exWJU7VY0kUFS2nouhkMfQSxg=/506x0/arc-anglerfish-arc2-prod-bostonglobe.s3.amazonaws.com/public/FNFJ6THUDYI6TOHSSNY7URDNG4.jpg,2019-10-21,Bostonglobe.com,"Tornado slams Dallas; 4 killed in Arkansas, Oklahoma",https://www.bostonglobe.com/news/nation/2019/10/21/tornado-slams-dallas-killed-arkansas-oklahoma/bHB51jJQCEtq3frjTabuHO/story.html
"USA TODAY, Jori Epstein, USA TODAY","A tornado touched down in Dallas, Texas, leaving thousands without power and damaging homes.
 Storyful
A tornado with wind estimates as high as 140 mph hit north Dallas on Sunday night, leaving four people dead and inflicting damage to homes, businesses and… [+1057 chars]",Dallas' local NBC affiliate waited six minutes to interrupt the Cowboys' game against the Eagles to provide a tornado warning.,"https://www.gannett-cdn.com/presto/2019/10/21/USAT/89b4e77c-9e57-4715-aa10-94f0b4e92282-GTY_1182362122.jpg?crop=4673,2629,x0,y0&width=3200&height=1680&fit=bounds",2019-10-21,USA Today,Dallas NBC station apologizes for delaying tornado warning during Cowboys' game vs. Eagles,https://www.usatoday.com/story/sports/nfl/cowboys/2019/10/21/dallas-cowboys-tornado-warning-nbc-tv-station/4058771002/?utm_source=google&utm_medium=amp&utm_campaign=speakable
"Charles Scudder, Jennifer Emily, Sarah Sarder, Jesus  Jimenez, Dana Branham, Obed Manuel","After three tornadoes tore through a huge swath of North Texas late Sunday, officials confirmed the best news: No one was killed or badly hurt.
But there was still plenty of heartache.
Despite the fact that we didnt lose any lives last night, I think we all… [+15150 chars]","3 tornadoes tear through Dallas, leveling homes and leaving thousands in North Texas without power The Dallas Morning News National Weather Service Confirms Tornado Touched Down in Dallas Bloomberg TicToc LeeAnne Locken Preston Hollow Dallas Tornado Damage Vi…",https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer//EI_wMtrw6ISfhQNC2nT7Rqubm7o=/1200x630/smart/filters:no_upscale()/arc-anglerfish-arc2-prod-dmn.s3.amazonaws.com/public/QTYXYVVE4RFN3KL6UPGHAXAWTU.jpg,2019-10-21,Dallasnews.com,"3 tornadoes tear through Dallas, leveling homes and leaving thousands in North Texas without power - The Dallas Morning News",https://www.dallasnews.com/news/weather/2019/10/21/3-tornadoes-tear-through-dallas-leveling-homes-and-leaving-thousands-in-north-texas-without-power/
,,"They were watching football when sky fell without warning,... (First column, 5th story, link ) Related stories: Tornado Leaves Trail of Damage in Dallas... Strikes near Love Field Airport! 3 quakes in 12 hours rattle Texas...",,2019-10-21,Google News,"They were watching football when sky fell without warning,...",http://feedproxy.google.com/~r/DrudgeReportFeed/~3/-K5KaQXE-5o/article236482393.html
